restaurant_name,restaurant_url,neighborhood,address,coordinates,lat,long,cuisine_type,service_style,meal_focus,description,vegan,gluten_free,dairy_free
A. Schwab Trading Company,https://www.a-schwab.com/,Beale Street,"163 Beale St, Memphis, TN 38103",Point(-90.05261211 35.13987356),35.13987356,-90.05261211,"Snacks, Sweets, Specialty Store","Casual, Retail","All-day, Snack","A. Schwab Trading Company is a historic Beale Street general store known for its nostalgic charm. Visitors can explore Memphis souvenirs, old-fashioned sodas, quirky gifts, and local treats all in one vintage setting. While the focus here isn’t on dining, you’ll find classic candies and sodas to enjoy as a nostalgic snack.",0,0,0
Alcenia’s Southern Style Cuisine,http://alcenias.com/,Downtown Memphis,"317 N Main St, Memphis, TN 38103",Point(-90.04971435 35.15374124),35.15374124,-90.04971435,"Southern, Soul Food","Casual, Family-style","Lunch, Dinner","Alcenia’s serves heartwarming, made-from-scratch Southern soul food in a brightly colored, welcoming space downtown. Specialties include fried chicken, catfish, salmon croquettes, cha‑cha cabbage, sweet potato cobbler, meatloaf, and hot-water cornbread. Owner B.J. personalizes service with Southern hospitality, and everything is cooked fresh daily. The nostalgic setting and generous portions make Alcenia’s a beloved community staple.",0,0,0
Alfred's on Beale,http://www.alfredsonbeale.com/,Beale Street,"197 Beale St, Memphis, TN 38103",Point(-90.05160706 35.13963637),35.13963637,-90.05160706,"Southern, Bar & Grill","Casual, Bar","Lunch, Dinner","Alfred’s on Beale offers an energetic multi-level patio and Beale Street people-watching in a live music bar setting. The menu spans gumbo, nachos, torta-style sandwiches, fried green tomatoes, catfish, pulled pork, and baked pasta, along with salads and a rotating “blue‑plate” special. Cocktails, beers, and lively nightfall crowds blend with old-school southern hospitality for a classic Memphis street experience.",0,0,0
Amelia Gene's,http://ameliagenes.com/,Downtown Memphis,"255 S Front St, Memphis, TN 38103",Point(-90.0571894 35.1399469),35.1399469,-90.0571894,"Global, Upscale, Fine Dining",Upscale,Dinner,"Amelia Gene’s transforms a historic warehouse into an elegant dining destination driven by seasonal, globally inspired dishes. Expect delicate bites like saffron bucatini, tempura squash blossoms, oyster plates, and a rotating tasting menu with a curated cheese cart and thoughtful wine service. The atmosphere blends refined hospitality with artistic presentation, ideal for intimate dinners or upscale evenings in downtown Memphis.",0,0,0
B.B. King’s Blues Club,http://bbkings.com/,Beale Street,"143 Beale St, Memphis, TN 38103",Point(-90.05350036 35.13985558),35.13985558,-90.05350036,"Southern, Bar & Grill, Live Music","Casual, Bar","Lunch, Dinner","B.B. King’s Blues Club delivers classic Southern fare and live blues music nightly on iconic Beale Street. The menu features ribs, catfish, gumbo, and Southern-inspired appetizers, with select gluten-free options clearly marked. The vibrant, music-filled atmosphere makes it a popular spot for visitors seeking Memphis flavor and sound. While not an allergen-free kitchen, the labeled options support guests with gluten sensitivities.",0,1,0
Bar DKDC,http://bardkdc.com/,Midtown,"964 Cooper St, Memphis, TN 38104",Point(-89.99073743 35.11955311),35.11955311,-89.99073743,"Global, Street Food","Casual, Bar","Lunch, Dinner","Nestled in Cooper‑Young, Bar DKDC is a funky, artsy spot offering ever‑changing global street food inspired by Mexico, the Caribbean, Spain, and beyond. Diners enjoy small plates like jerk chicken tacos on corn tortillas, Mediterranean sliders, and Caribbean‑spiced tacos in an intimate, loft‑like space adorned with international art. Excellent cocktails, soul music nights, and vintage décor—plus a vintage photo booth—add to its inventive, spirited vibe.",0,1,0
Bar Ware,http://www.barwarememphis.com/,Downtown Memphis,"276 S Front St, Memphis, TN 38103",Point(-90.0573098 35.13919647),35.13919647,-90.0573098,"Bar, Casual","Modern, Casual","Lunch, Dinner","Bar Ware offers a modern, casual downtown atmosphere with a focus on elevated bar fare and creative cocktails. Shareable plates, sandwiches, and comforting small bites make it ideal for an after-work stop or casual dinner. Vegetarian options and some lighter items are available, so guests can enjoy an approachable yet thoughtful dining experience while mingling over drinks.",0,0,0
Belle Tavern,http://www.belletavern.com/,Downtown Memphis,"117 Barboro Alley, Memphis, TN 38103",Point(-90.05298135 35.14316455),35.14316455,-90.05298135,Bar,"Cozy, Casual","Drinks, Late-night","Belle Tavern is a tucked-away whiskey-focused alley bar known for its skilled cocktails, comfortable seating, and low-lit vibe. Although small bites and sliders are available from its sister steakhouse, the focus is on the drinks program—from bourbon flights to seasonal specials. It’s a favorite after-hours spot where mixology meets cozy conversation in a discreet, stylish setting.",0,0,0
Birdie’s,http://www.golfatbirdies.com/,Downtown Memphis,"493 S Main St STE 101, Memphis, TN 38103",Point(-90.05966026 35.13401049),35.13401049,-90.05966026,"Southern, Bar & Grill","Casual, Bar","Lunch, Dinner","Birdie’s offers an elevated bar and grill experience with a focus on Southern-inspired small plates and creative cocktails, all served in a chic, stylish setting. Its refined yet approachable menu includes shareables and inventive twists on familiar dishes. Vegetarian-friendly options and lighter selections are available, making it easy to tailor your meal while soaking in the lively atmosphere.",0,0,0
Blues City Cafe,http://www.bluescitycafe.com/,Beale Street,"138 Beale St, Memphis, TN 38103",Point(-90.05321517 35.14027935),35.14027935,-90.05321517,"Southern, Soul Food","Casual, Bar","Lunch, Dinner","Blues City Cafe is a beloved Beale Street staple serving classic Southern and soul food dishes like ribs, catfish, and gumbo in a casual, music-filled atmosphere. Its lively, welcoming vibe makes it a must-visit for visitors looking to soak up Memphis’s energy. While the menu leans hearty, guests will find salads and veggie sides that can accommodate lighter or vegetarian preferences.",0,0,0
